,t,Q,P,h,Target,dt,tIn,tOff
0,2023-05-12 00:00:00,34.4974,86.5909,309.65832736,89.42876534895287,22.75,2023-05-12,2023-05-12 22:45:00
1,2023-05-12 00:15:00,42.3647,108.8059,304.0048888,108.25422031115592,22.75,2023-05-12,2023-05-12 22:45:00
2,2023-05-12 00:30:00,34.0549,86.8127,310.55875778,88.53836487620941,22.75,2023-05-12,2023-05-12 22:45:00
3,2023-05-12 00:45:00,43.7943,111.5075,303.4491305,111.64498650083583,22.75,2023-05-12,2023-05-12 22:45:00
4,2023-05-12 01:00:00,35.1029,89.8227,310.67500814,91.40728818720346,22.75,2023-05-12,2023-05-12 22:45:00
5,2023-05-12 01:15:00,44.101,112.8871,303.62554552,112.49221921147965,22.75,2023-05-12,2023-05-12 22:45:00
6,2023-05-12 01:30:00,36.6754,93.413,310.04582856,95.49474128304783,22.75,2023-05-12,2023-05-12 22:45:00
7,2023-05-12 01:45:00,43.1963,111.1514,304.58002216,110.56719970847124,22.75,2023-05-12,2023-05-12 22:45:00
8,2023-05-12 02:00:00,38.3531,97.6116,308.91799612,99.55128308974211,22.75,2023-05-12,2023-05-12 22:45:00
9,2023-05-12 02:15:00,42.0208,108.8962,305.8761117,108.03637669933715,22.75,2023-05-12,2023-05-12 22:45:00
10,2023-05-12 02:30:00,41.1464,104.8926,307.31904380000003,106.29407992646365,22.75,2023-05-12,2023-05-12 22:45:00
11,2023-05-12 02:45:00,39.3713,102.5617,307.65351852,101.80488560576129,22.75,2023-05-12,2023-05-12 22:45:00
12,2023-05-12 03:00:00,43.3659,110.6451,305.49268946,111.33392851253366,22.75,2023-05-12,2023-05-12 22:45:00
13,2023-05-12 03:15:00,37.1156,96.6822,309.44316222000003,96.45307565754695,22.75,2023-05-12,2023-05-12 22:45:00
14,2023-05-12 03:30:00,44.1154,113.3036,304.68097642,112.8794338905586,22.75,2023-05-12,2023-05-12 22:45:00
15,2023-05-12 03:45:00,36.4596,94.5945,310.3731651,94.95320119367064,22.75,2023-05-12,2023-05-12 22:45:00
16,2023-05-12 04:00:00,44.0911,113.325,304.30265288,112.71777605875668,22.75,2023-05-12,2023-05-12 22:45:00
17,2023-05-12 04:15:00,36.5137,94.2506,310.34053342,95.16407924901065,22.75,2023-05-12,2023-05-12 22:45:00
