t,Q,P,Bar,Eta
2024-03-05 14:15:00,0.032866799999999995,86.8759,30.712,0.8603503368004772
2024-03-05 14:30:00,0.0410868,107.3832,30.3991,0.8594385601866663
2024-03-05 14:45:00,0.0272911,67.8324,31.0264,0.800804108731865
2024-03-05 15:00:00,0.0196181,48.7136,31.362,0.7914638234709452
2024-03-05 15:15:00,0.0376021,99.6231,30.5425,0.8671313873176958
2024-03-05 15:30:00,0.042473500000000004,109.5194,29.9826,0.859696685384522
2024-03-05 15:45:00,0.0424574,108.8617,29.7574,0.8613274166257939
2024-03-05 16:00:00,0.0424172,107.9371,29.6111,0.8590446650599987
2024-03-05 16:15:00,0.0394375,100.6122,30.0546,0.8485390902640456
2024-03-05 16:30:00,0.023114799999999998,55.9303,30.9799,0.7807617604845155
2024-03-05 16:45:00,0.0286622,74.6265,30.6584,0.8489372747473553
2024-03-05 17:00:00,0.0386724,100.1665,30.1125,0.8598369383612835
2024-03-05 17:15:00,0.0394481,100.6643,29.8307,0.8551208197352993
2024-03-05 17:30:00,0.0394595,101.5386,29.9866,0.857815529371774
2024-03-05 17:45:00,0.0355484,90.6677,30.3227,0.8408261479952683
2024-03-05 18:00:00,0.0209725,50.639,30.993,0.7787765017656908
2024-03-05 18:15:00,0.0306232,80.6066,30.6963,0.857186927099159
2024-03-05 18:30:00,0.040656599999999994,105.5857,30.1509,0.8610240925347392
2024-03-05 18:45:00,0.0420867,108.1954,29.8846,0.8599199266472421
2024-03-05 19:00:00,0.0424604,109.377,29.9529,0.859695368647367
2024-03-05 19:15:00,0.0366104,93.1099,30.3804,0.8368342295475368
2024-03-05 19:30:00,0.0252363,62.9362,30.8813,0.8072736905779294
2024-03-05 19:45:00,0.0163918,36.9179,31.0452,0.7251993698747496
2024-03-05 20:00:00,0.021136600000000002,51.834,30.7913,0.7961467161628126
2024-03-05 20:15:00,0.019149,44.5278,30.9362,0.7513801365844557
2024-03-05 20:30:00,0.015168300000000001,33.2273,31.1074,0.7039405235064048
2024-03-05 20:45:00,0.0162313,36.695,31.0425,0.7280118272862972
2024-03-05 21:00:00,0.026159500000000002,65.203,30.499,0.8169473659700859
2024-03-05 21:15:00,0.0029174,3.6467,31.7289,0.3938134820684016
2024-03-05 21:30:00,0.0126524,41.6258,31.559,1.042096611712454
2024-03-05 21:45:00,0.0373327,96.4736,30.0021,0.8610115310198144
2024-03-05 22:00:00,0.0249797,59.7551,30.7864,0.7767305535731802
2024-03-05 22:15:00,0.0185061,44.7653,31.0974,0.7775781569496477
2024-03-05 22:30:00,0.0401119,103.9825,29.844,0.8683034508335307
2024-03-05 22:45:00,0.0501144,124.228,28.9103,0.8571284241550036
2024-03-05 23:00:00,0.0503874,125.0523,28.9403,0.8572514794075043
